keyword,counts,label
마카롱,1266,20
맛,1100,20
먹,1098,20
맛있,803,20
있,683,20
좋,677,20
같,497,20
하,489,20
케이크,346,20
필링,294,20
꼬끄,293,20
없,273,20
디저트,271,20
크림,262,20
집,241,20
곳,230,20
많,223,20
롱,208,20
방문,200,20
초코,199,20
괜찮,195,20
정도,194,20
카,194,20
카페,192,20
생각,188,20
가격,186,20
딸기,179,20
쫀득,176,20
커피,176,20
때,173,20
느낌,172,20
뚱,171,20
바닐라,168,20
가,154,20
달,153,20
빵,142,20
되,141,20
가게,137,20
종류,126,20
향,126,20
메뉴,125,20
느끼,120,20
들,116,20
주문,113,20
추천,112,20
우유,110,20
식감,110,20
버터,108,20
쿠키,108,20
맛집,104,20
보,103,20
유명,101,20
다쿠아즈,100,20
타르트,99,20
안,98,20
선물,93,20
케익,92,20
얼,92,20
사진,88,20
포장,87,20
말차,86,20
레몬,85,20
분위기,84,20
사람,83,20
사,83,20
음료,83,20
개인,82,20
기대,81,20
받,79,20
다양,79,20
사장,77,20
근처,75,20
친구,74,20
알,74,20
치즈,74,20
시간,73,20
날,71,20
남,71,20
크,71,20
모르,71,20
크림치즈,71,20
속,69,20
무난,69,20
스타,67,20
스콘,67,20
초콜릿,66,20
위치,66,20
다음,65,20
입,65,20
넣,65,20
무화과,65,20
나,63,20
낭시,63,20
소금,63,20
찾,63,20
겉,62,20
친절,62,20
앞,61,20
부드럽,61,20
자리,61,20
거트,61,20
잼,61,20
오픈,59,20
인,58,20
작,57,20
전,56,20
재료,56,20
길,55,20
오,55,20
밀크티,55,20
휘,55,20
점,54,20
생크림,54,20
고소,54,20
취향,54,20
기분,54,20
몽블랑,53,20
좋아하,53,20
기억,52,20
카라멜,51,20
라떼,51,20
예쁘,50,20
라즈베리,50,20
예약,49,20
이름,49,20
티,49,20
말,48,20
꾸,47,20
만족,47,20
공간,47,20
단맛,47,20
인테리어,47,20
그레이,47,20
후,46,20
크기,46,20
마들렌,46,20
리뷰,46,20
일,45,20
강하,45,20
가능,44,20
구매,44,20
딱딱,44,20
적당,43,20
기본,42,20
과자,42,20
들어가,42,20
인절미,42,20
판매,41,20
달콤,41,20
저렴,41,20
드,41,20
부분,41,20
아메리카노,41,20
모양,40,20
궁금,40,20
상큼,40,20
망고,40,20
차,40,20
매장,40,20
내부,40,20
인기,39,20
