keyword,counts,label
먹,6515,9
맛,4561,9
맛있,3945,9
있,3586,9
좋,3277,9
하,2659,9
같,2122,9
집,2049,9
없,1731,9
국물,1537,9
칼국수,1531,9
면,1385,9
고기,1296,9
육수,1253,9
방문,1226,9
많,1206,9
곳,1197,9
주문,1118,9
느낌,1053,9
만두,1050,9
메뉴,1038,9
냉면,1017,9
정도,1012,9
생각,984,9
때,978,9
가,974,9
맛집,961,9
평양냉면,947,9
음식,929,9
김치,827,9
되,823,9
국수,790,9
막국수,767,9
양,714,9
가격,687,9
사람,654,9
메밀,645,9
나오,641,9
들,623,9
평,623,9
수육,622,9
깔끔,602,9
보,601,9
넣,583,9
밥,583,9
식당,560,9
웨이팅,554,9
쌀국수,544,9
추천,528,9
가게,516,9
양념,512,9
시간,498,9
괜찮,496,9
향,493,9
전,487,9
콩국수,478,9
물,476,9
고소,473,9
말,462,9
식감,448,9
간,441,9
닭,420,9
알,403,9
냉,402,9
소스,401,9
유명,398,9
시원,378,9
닭갈비,377,9
기대,359,9
근처,356,9
식사,355,9
추가,355,9
면옥,353,9
다음,345,9
오,343,9
육향,343,9
입,339,9
개인,333,9
분위기,326,9
속,325,9
친절,323,9
주,323,9
테이블,319,9
점,319,9
담백,317,9
볶음밥,317,9
찾,316,9
들어가,309,9
소고기,308,9
나,301,9
반,300,9
만족,299,9
처음,298,9
자리,296,9
쫄깃,292,9
받,291,9
수제비,289,9
족발,288,9
배,288,9
모르,287,9
그릇,286,9
점심,284,9
베트남,282,9
손,280,9
면발,276,9
안,273,9
비빔국수,273,9
맞,266,9
고명,264,9
돼지,262,9
후,260,9
위치,257,9
자극,257,9
시키,252,9
감칠맛,248,9
매력,248,9
길,247,9
리뷰,247,9
친구,247,9
기본,247,9
부드럽,247,9
비빔,247,9
날,245,9
스타일,245,9
남,243,9
두부,242,9
가능,237,9
최고,233,9
매콤,229,9
국밥,225,9
인,220,9
입맛,219,9
요리,215,9
적당,215,9
사장,211,9
앞,210,9
반찬,210,9
술,209,9
서울,209,9
보이,207,9
기분,207,9
보쌈,207,9
옥,205,9
찍,204,9
적,204,9
이상,201,9
인분,200,9
직원,198,9
야채,197,9
잡,196,9
그렇,195,9
자체,194,9
짜,194,9
편육,193,9
재료,193,9
살,192,9
얇,191,9
크,190,9
녹두전,190,9
드,189,9
주차,186,9
제육,185,9
취향,185,9
느끼,185,9
기억,183,9
조합,183,9
파,182,9
저녁,179,9
훌륭,178,9
마늘,178,9
맵,177,9
간장,176,9
동치미,175,9
쌈,174,9
접시,172,9
깊,172,9
일,170,9
높,168,9
포장,168,9
튀김,167,9
비슷,166,9
평양,165,9
들기름,164,9
여름,164,9
사리,164,9
맑,163,9
마음,162,9
버섯,160,9
만들,159,9
다양,159,9
서비스,159,9
부분,159,9
음식점,158,9
좋아하,157,9
비빔냉면,157,9
줄,155,9
아쉽,154,9
대기,153,9
막걸리,153,9
푸짐,152,9
무난,152,9
물냉면,152,9
사골,152,9
넓,151,9
궁금,151,9
위,150,9
순두부,150,9
고추,149,9
진하,149,9
치킨,149,9
냄새,148,9
이번,147,9
생각나,147,9
특별,145,9
마시,144,9
조화,144,9
태국,143,9
망,142,9
의사,142,9
일반,142,9
돼지고기,142,9
맛보,141,9
사진,141,9
쓰,141,9
끝,141,9
예전,141,9
동네,140,9
달,139,9
콩,139,9
기다리,137,9
주말,137,9
차,137,9
평범,137,9
작,136,9
보통,135,9
오랜만,135,9
인상,135,9
앉,135,9
육개장,134,9
내부,133,9
새우,133,9
은은,132,9
해물,131,9
내,131,9
시장,131,9
슴슴하,131,9
이유,130,9
강하,130,9
굿,129,9
플,129,9
다르,129,9
갈비,128,9
계란,128,9
두국,127,9
필요,127,9
씹,126,9
인기,126,9
맘,126,9
명동,126,9
구이,125,9
무침,124,9
넘,124,9
저렴,124,9
이름,123,9
본점,123,9
겨울,122,9
담,122,9
소주,122,9
오픈,121,9
시작,121,9
도토리,121,9
손님,120,9
평일,119,9
비교,119,9
누룽지,119,9
가족,119,9
특이,119,9
노포,119,9
구수,118,9
따뜻,118,9
소금,118,9
삶,118,9
팟타이,118,9
촉촉,117,9
주변,116,9
건강,116,9
배추,116,9
어울리,115,9
뒤,114,9
신선,113,9
신기,113,9
우래,112,9
전체,112,9
샤브샤브,112,9
돈,111,9
기름,110,9
얼큰,110,9
감자전,110,9
가성,110,9
제주,109,9
옆,109,9
들깨,109,9
닭고기,108,9
비주얼,108,9
한입,108,9
즐기,107,9
전골,107,9
차이,107,9
채소,106,9
찜,106,9
나쁘,106,9
숯불,106,9
불고기,106,9
밖,105,9
심심,105,9
리필,105,9
층,104,9
인테리어,104,9
볶,104,9
공간,103,9
현지,103,9
마지막,103,9
고민,103,9
비,102,9
실망,102,9
절임,101,9
곰탕,101,9
단맛,101,9
소,101,9
아,101,9
부족,100,9
칼칼,100,9
양념장,100,9
진주,100,9
밑반찬,99,9
팟,99,9
양지,98,9
백숙,98,9
최근,96,9
건물,96,9
오이,95,9
사용,95,9
이북,95,9
베이스,94,9
날씨,94,9
특유,94,9
성비,94,9
겉,93,9
물회,93,9
파전,93,9
부담,92,9
맛나,92,9
매장,92,9
그러,92,9
춘천,92,9
콩국,92,9
어복쟁반,91,9
을밀대,91,9
식초,91,9
평점,90,9
밀면,90,9
쫀득,90,9
교자,90,9
메밀전,89,9
진미,89,9
익,89,9
피,89,9
섞,89,9
중간,89,9
군만두,89,9
바지락,89,9
기준,88,9
구성,88,9
나중,88,9
썰,88,9
수준,87,9
호불호,87,9
골목,86,9
별미,86,9
고수,86,9
양파,85,9
선택,85,9
배달,85,9
고춧가루,85,9
멸치,85,9
경우,84,9
깨끗,84,9
겉절이,84,9
뼈,84,9
미나리,84,9
경험,83,9
요즘,83,9
완벽,83,9
이후,83,9
세트,83,9
된장,83,9
거리,82,9
특징,82,9
힘들,82,9
한국,82,9
대구,82,9
칼,82,9
여행,81,9
쉽,81,9
빈대떡,81,9
수,81,9
뿜,81,9
새콤,80,9
커리,80,9
사이드,80,9
도착,80,9
국,80,9
쏘,80,9
싫,80,9
일행,79,9
편하,79,9
해장,79,9
행복,79,9
예술,79,9
우동,79,9
대표,78,9
강남,78,9
죽,78,9
부추,78,9
주차장,78,9
치,77,9
빼,77,9
한우,77,9
익숙,77,9
대신,76,9
사이,76,9
반미,76,9
필동,76,9
눈,75,9
빠르,75,9
서빙,74,9
감동,73,9
지금,73,9
걱정,73,9
김,73,9
부산,73,9
판매,73,9
면수,73,9
붙,72,9
병,72,9
가루,72,9
원,72,9
몸,72,9
볶음,72,9
순면,71,9
숙주,71,9
종류,71,9
글,71,9
공기,71,9
꼬치,71,9
상태,70,9
운영,70,9
사랑,70,9
부위,70,9
불,70,9
오징어,69,9
참기름,69,9
혼,69,9
입구,69,9
오늘,69,9
순간,68,9
회전율,68,9
전문점,68,9
미슐랭,68,9
막창,68,9
독특,68,9
덕분,67,9
늦,67,9
주방,67,9
풀,67,9
든든,67,9
도전,67,9
을지로,67,9
밀가루,67,9
반죽,67,9
육즙,67,9
철판,67,9
만둣국,67,9
봉밀,66,9
정갈,66,9
조금,66,9
쌀,66,9
참고,66,9
침,66,9
냉이,65,9
얹,65,9
이전,65,9
동안,65,9
맥주,65,9
밍밍,65,9
겨자,65,9
짭짤,64,9
시,64,9
조리,64,9
일품,64,9
