keyword,counts,label
돈,1947,24
먹,1926,24
까스,1708,24
있,1135,24
맛있,1108,24
맛,1056,24
좋,850,24
하,766,24
같,676,24
집,565,24
소스,521,24
없,476,24
우동,462,24
많,417,24
돈가스,393,24
고기,373,24
방문,367,24
밥,363,24
메뉴,361,24
때,352,24
곳,350,24
정도,349,24
카츠,348,24
주문,335,24
생각,319,24
가,302,24
느낌,286,24
괜찮,277,24
맛집,275,24
가격,274,24
라멘,252,24
안심,246,24
웨이팅,243,24
양,235,24
치즈,235,24
되,232,24
음식,206,24
나오,197,24
등심,193,24
시간,193,24
연어,189,24
느끼,187,24
가게,182,24
사람,179,24
보,171,24
면,168,24
튀김,162,24
식당,162,24
동,158,24
추천,153,24
튀김옷,143,24
분위기,138,24
샐러드,132,24
모밀,132,24
카레,131,24
테이블,130,24
소금,126,24
근처,124,24
받,123,24
국물,123,24
찍,122,24
오,120,24
점,120,24
들,116,24
말,114,24
점심,113,24
전,112,24
친절,112,24
유명,112,24
부드럽,107,24
소바,106,24
식사,105,24
덮밥,105,24
추가,102,24
만족,101,24
오제,100,24
기대,100,24
찾,99,24
경양식,99,24
세트,96,24
알,95,24
자리,94,24
다음,94,24
식감,93,24
정식,93,24
깔끔,92,24
적,91,24
층,90,24
주,90,24
사,90,24
모르,89,24
두툼,89,24
돈부리,89,24
앞,88,24
입,87,24
기본,86,24
개인,85,24
와사비,84,24
평범,84,24
직원,84,24
츠,83,24
향,82,24
반,82,24
가능,82,24
위,79,24
무난,79,24
새우튀김,78,24
크,78,24
위치,78,24
트,78,24
김치,77,24
히,76,24
사장,76,24
나,75,24
시키,74,24
자루,73,24
육수,73,24
길,71,24
자체,71,24
친구,71,24
스프,71,24
스타일,70,24
가성,70,24
새우,69,24
얇,69,24
남,69,24
줄,69,24
저녁,69,24
로스,69,24
옛날,69,24
생선,69,24
코츠,69,24
육즙,68,24
오픈,68,24
대기,68,24
잡,68,24
넣,68,24
혼,67,24
사케,67,24
서울,66,24
보이,66,24
후,65,24
아쉽,65,24
맞,64,24
손,64,24
처음,62,24
기억,62,24
기분,62,24
작,61,24
일본식,61,24
일,60,24
예전,60,24
구성,60,24
이상,60,24
추억,59,24
쫄깃,58,24
일본,58,24
파,58,24
돼지,58,24
최고,58,24
입맛,57,24
프리미엄,57,24
매콤,57,24
규동,57,24
다양,56,24
홍대,56,24
넓,55,24
평일,55,24
서비스,55,24
사진,55,24
적당,54,24
기다리,54,24
간,54,24
날,54,24
촉촉,54,24
조합,54,24
나쁘,54,24
고소,53,24
들어가,53,24
리뷰,53,24
오랜만,52,24
배,52,24
앉,52,24
특별,52,24
일식,52,24
두께,51,24
짜,51,24
인,51,24
저렴,51,24
보통,50,24
부분,50,24
속,50,24
성비,50,24
계란,50,24
나베,50,24
기름,49,24
옆,49,24
끝,49,24
그렇,49,24
스테이크,49,24
예약,49,24
쓰,49,24
차슈,49,24
명동,48,24
안,48,24
취향,47,24
면발,47,24
이유,47,24
물,47,24
매력,46,24
양배추,46,24
동네,46,24
빵,46,24
이번,45,24
유,45,24
담백,45,24
일반,45,24
인상,45,24
훌륭,45,24
손님,45,24
인테리어,44,24
좋아하,44,24
재료,44,24
비주얼,44,24
장국,44,24
가스,44,24
씹,43,24
제주,43,24
간장,43,24
선택,42,24
인기,42,24
도착,41,24
드,40,24
높,40,24
이후,40,24
요즘,39,24
부족,39,24
특이,39,24
필요,39,24
마늘,39,24
초밥,39,24
만들,38,24
시원,38,24
살,38,24
팀,37,24
말차,37,24
싫,37,24
생각나,37,24
치,37,24
이름,37,24
단무지,37,24
음식점,36,24
종류,36,24
의사,36,24
매장,36,24
내부,36,24
야채,35,24
아,35,24
냄새,35,24
두껍,35,24
주변,35,24
넘,35,24
마음,35,24
수,35,24
푸짐,35,24
배달,35,24
지하,34,24
기준,34,24
포장,34,24
부위,34,24
특등,33,24
주차,33,24
달,33,24
전체,33,24
주말,33,24
비슷,33,24
제주도,33,24
양파,33,24
멘,33,24
비싸,32,24
불편,32,24
붙,32,24
굿,32,24
퀄리티,32,24
차이,32,24
대비,32,24
레,32,24
신선,32,24
맵,32,24
학생,32,24
신기,31,24
글,31,24
짱,31,24
