keyword,counts,label
먹,6174,18
맛,5453,18
맛있,5098,18
좋,4498,18
있,4256,18
케이크,3567,18
같,2934,18
하,2877,18
디저트,2023,18
없,1812,18
커피,1812,18
크림,1808,18
카페,1617,18
방문,1534,18
빵,1489,18
곳,1486,18
메뉴,1296,18
많,1238,18
생각,1225,18
느낌,1203,18
케익,1148,18
주문,1137,18
때,1079,18
가,1041,18
정도,1017,18
딸기,1001,18
초코,962,18
타르트,960,18
분위기,928,18
집,836,18
향,830,18
괜찮,810,18
되,791,18
가격,786,18
달,781,18
들,760,18
치즈,750,18
사람,744,18
보,686,18
추천,677,18
음료,671,18
바닐라,641,18
생크림,634,18
안,597,18
식감,590,18
자리,589,18
스콘,569,18
기대,549,18
유명,548,18
시간,545,18
파이,543,18
말차,537,18
밀크티,513,18
라떼,507,18
차,504,18
크,497,18
공간,497,18
다음,494,18
가게,484,18
말,473,18
느끼,471,18
종류,467,18
초콜릿,460,18
작,453,18
위,450,18
버터,443,18
시트,442,18
고소,440,18
당근,440,18
입,435,18
녹차,433,18
얼,427,18
브런치,425,18
티,423,18
마카롱,412,18
맛집,411,18
샌드위치,409,18
무스,403,18
부드럽,401,18
친구,394,18
받,391,18
팬케이크,391,18
아메리카노,386,18
알,384,18
테이블,384,18
포장,383,18
개인,380,18
근처,379,18
오,375,18
사진,372,18
나,368,18
기분,366,18
웨이팅,365,18
만족,365,18
촉촉,363,18
모르,361,18
마들렌,359,18
전,351,18
재료,351,18
점,350,18
날,347,18
남,346,18
찾,345,18
상큼,344,18
위치,344,18
친절,343,18
인테리어,342,18
아이스크림,341,18
레몬,341,18
꾸,340,18
깔끔,334,18
나오,332,18
취향,331,18
앉,330,18
가능,325,18
다양,324,18
층,321,18
무난,320,18
조합,319,18
과일,318,18
자체,315,18
망고,303,18
조화,297,18
사장,297,18
예쁘,293,18
우유,293,18
들어가,288,18
기억,288,18
쿠키,288,18
높,287,18
오픈,286,18
치즈케이크,286,18
속,285,18
바나나,285,18
조각,284,18
사,282,18
마시,273,18
밤,269,18
케잌,267,18
드,267,18
인,264,18
마음,262,18
최고,261,18
비주얼,261,18
예약,260,18
달콤,260,18
바게트,259,18
앞,258,18
매장,258,18
이름,255,18
몽블랑,255,18
맞,255,18
플,254,18
리뷰,254,18
음식,252,18
겉,252,18
만들,251,18
진하,251,18
주,250,18
피스타치오,249,18
이상,245,18
좋아하,245,18
빙수,244,18
내부,243,18
소스,243,18
넣,242,18
단맛,241,18
부분,237,18
길,236,18
원두,236,18
홀,234,18
보이,232,18
궁금,229,18
크림치즈,227,18
양,226,18
시그,225,18
후,220,18
아이스,218,18
그렇,218,18
그레이,218,18
의사,216,18
처음,216,18
아쉽,216,18
인기,210,18
복숭아,210,18
화이트,207,18
트,207,18
찍,206,18
베이커리,204,18
쓰,204,18
산미,204,18
낭시,203,18
이번,202,18
적당,200,18
파스타,200,18
기본,199,18
소금,199,18
일,198,18
선물,197,18
평범,195,18
예전,193,18
전체,191,18
파운드,190,18
주말,190,18
블루베리,189,18
은은,189,18
스타,188,18
선택,188,18
매력,187,18
손,187,18
무화과,187,18
넓,186,18
시럽,186,18
구매,185,18
파,185,18
따뜻,184,18
스타일,182,18
사이,181,18
처,180,18
풍미,178,18
녹,178,18
식사,178,18
팥,178,18
휘,177,18
단호박,177,18
특별,176,18
쇼,174,18
직원,174,18
줄,173,18
비싸,173,18
반,171,18
쇼콜라,171,18
밖,169,18
나쁘,169,18
판매,166,18
덕,165,18
어울리,165,18
체리,165,18
샐러드,164,18
흑임자,163,18
시키,163,18
홍차,161,18
카라멜,161,18
고급,158,18
눈,158,18
저녁,157,18
눌,157,18
크기,156,18
오랜만,156,18
베네딕트,156,18
적,155,18
강하,155,18
유자,155,18
쏘,154,18
푸딩,154,18
동네,153,18
잡,152,18
살,150,18
인상,149,18
넘,148,18
평일,148,18
이유,147,18
시즌,147,18
담백,147,18
오믈렛,147,18
테이크아웃,146,18
입맛,146,18
설명,146,18
빵집,146,18
고민,146,18
행복,144,18
라즈베리,143,18
모양,141,18
과자,140,18
잼,140,18
옆,139,18
물,139,18
드립,139,18
당,139,18
훌륭,138,18
레,138,18
애플,138,18
슈페너,138,18
주차,137,18
신기,136,18
불편,136,18
실망,135,18
즐기,135,18
르,134,18
맛보,133,18
신선,132,18
토스트,132,18
사용,130,18
조용,130,18
담,129,18
만드,129,18
아침,128,18
사과,128,18
머랭,128,18
특이,127,18
오렌지,125,18
계절,125,18
베이컨,125,18
비슷,124,18
토마토,124,18
코코넛,124,18
서비스,123,18
계란,123,18
감동,123,18
서울,122,18
좌석,122,18
초콜렛,121,18
수플레,121,18
평점,120,18
묵직,120,18
배,119,18
끝,118,18
밀푀유,118,18
잔,117,18
거리,117,18
기다리,116,18
