title,genre,nation,running_time,release_date,director,actor,grade,summary,poster
007 노 타임 투 다이,액션,미국,163분,2021 .09.29 개봉,캐리 후쿠나가,"다니엘 크레이그(제임스 본드), 라미 말렉(사핀), 라샤나 린치(노미)",12세 관람가,가장 강력한 운명의 적과 마주하게된 제임스 본드의 마지막 미션이 시작된다,https://movie-phinf.pstatic.net/20211001_121/16330536363187liBB_JPEG/movie_image.jpg?type=m203_290_2
117편의 러브레터,"멜로/로맨스, 드라마",헝가리,114분,2021 .03.18 개봉,페트르 가르도스,"밀란 쉬러프(미클로시), 에모크 피티(릴리), 안나 아즈카라테(비요르크만 부인)",15세 관람가,"1945년 홀로코스트에서 살아남은 헝가리 청년 '미클로시'는
 해방 후 폐질환으로 6개월 시한부 선고를 받는다.
 하지만 그는 삶을 포기하지 않을 이유를 찾기 위해
 117명의 여성들에게 편지를 보내고, 17명에게 답장을 받는다.
 그 중 열아홉 살 소녀 ‘릴리’의 편지는 ‘미클로시’의 가슴을 뛰게 하고,
 어느새 둘의 편지는 러브레터가 된다.
 “나를 보러 올 수 있어요?”라고 묻는 ‘릴리’.
 “건강해야 할 이유가 생겼어요”라고 답하는 ‘미클로시’.
 두 사람은 주변의 만류에도 불구하고 결혼을 결심하는데…
 
 삶을 포기하지 않은 사람들에게 당도한 사랑의 기적을 만난다!",https://movie-phinf.pstatic.net/20210302_206/1614663012921ti8Yu_JPEG/movie_image.jpg?type=m203_290_2
"2021 스웨그 에이지 : 외쳐, 조선!","공연실황, 뮤지컬",한국,144분,2021 .05.13 개봉,"우진하, 곽기영","양희준(단), 김수하(진)",12세 관람가,"삶의 고단함과 역경을 시조 속에 담아 훌훌 털어버렸던 백성들은 역모 사건으로 시조 활동이 금지되면서 자유도 행복도 잊은 채 살아간다.
 그러던 중 15년 만에 누구나 참여할 수 있는 조선시조자랑이 열리게 되고, 탈 속에 정체를 감추고 양반들의 악행을 파헤쳐 행복한 세상을 만들고자 조직된 비밀시조단 ‘골빈당’은 이것을 기회 삼아 조선에 새로운 바람을 불러일으키고자 한다.
 한편, 왕의 비선실세이자 시조대판서인 홍국은 자신에 대한 악덕한 소문을 퍼트리고 다닌다는 이유를 들어 골빈당을 잡으려는 음모를 꾸미는데…",https://movie-phinf.pstatic.net/20210518_136/1621304680600y6Owj_JPEG/movie_image.jpg?type=m203_290_2
2067,SF,오스트레일리아,114분,2021 .06.03 개봉,세스 라니,"코디 스밋 맥피, 라이언 콴튼",12세 관람가,"지구 종말이 도래하고, 산소가 중요한 화폐가 된 서기 2067년.
 ‘타임머신’이라고 불리는 일명 ‘크로니컬’이 발명되고,
 407년 뒤, 2474년 미래에서 보낸 메시지가 도착한다.
 
 인류의 마지막 희망, 미래를 구해야만 한다",https://movie-phinf.pstatic.net/20210513_298/1620868327998joC5k_JPEG/movie_image.jpg?type=m203_290_2
300: 전사의 귀환,액션,미국,90분,2021 .03 개봉,크리스토퍼 포베스,아론 브롬버그,15세 관람가,"로마 제국의 지배를 받던 브리튼은 로마 군대 철수 후 자유를 얻는다.
 그러나 계속되는 픽트족의 침략에 브리튼의 왕 '보티건'은 두려움에 사로잡힌다.
 픽트족에 맞설만한 힘이 없는 보티건은 결국 색슨족과 동맹을 맺게 되고,
 색슨족의 지배자들은 자신의 백성들을 이끌고 브리튼을 방문하는데...",https://movie-phinf.pstatic.net/20210218_16/1613609812569yXPGh_JPEG/movie_image.jpg?type=m203_290_2
365일: 비밀의 여자,스릴러,미국,78분,2021 .01 개봉,콜린 플룸,"엘리아스 하저, 케이트 린더",청소년 관람불가,"갑작스러운 어머니의 죽음으로 혼자가 된 브랜던.
 어려운 형편으로 힘겹게 장례를 준비하는 중에 도움의 손길을 내민 피오나와 가까워진다.
 장례식장을 운영하는 피오나와 언니 부부는 브랜던을 저녁 식사에 초대하고
 처음 맛보는 요리와 아름다운 노래로 브랜던은 상처받은 마음에 위로를 얻는다.
 자연스럽게 서로의 감정을 확인하는 브랜던과 피오나.
 하지만 피오나의 사랑에는 어둡고 위험한 비밀이 숨겨져 있는데...",https://movie-phinf.pstatic.net/20210108_229/1610082360684SshfY_JPEG/movie_image.jpg?type=m203_290_2
3개의 얼굴들,드라마,이란,101분,2021 .03.04 개봉,자파르 파나히,"베나즈 자파리, 자파르 파나히",15세 관람가,"유명배우 베흐나즈 자파리에게 먼 시골 마을에 사는 소녀의 영상이 전달된다. 가족들이 배우가 되겠다는 자신의 꿈을 반대한다며, 자살을 암시하는 자극적인 영상이었다. 직접 확인하기로 결정한 베흐나즈 자파리는 영화감독 자파르 파나히와 함께 소녀를 찾아 먼 길을 떠난다.",https://movie-phinf.pstatic.net/20200827_116/15984940709696r6FP_JPEG/movie_image.jpg?type=m203_290_2
438일,드라마,스웨덴,124분,2021 .01.21 개봉,예스퍼 갠스란트,"구스타프 스카스가드(마틴), 마티아스 바레라(요한)",15세 관람가,"2011년 6월 28일 밤 스웨덴 기자 마틴과 요한은
 소말리아에서 에티오피아로 불법 입국한다.
 수개월에 걸친 탐사취재 끝에 마침내 석유전쟁에 의한
 오가덴 지역 주민 피해의 실체를 밝히려던 순간,
 에티오피아 군대에 의해 테러협의로 붙잡혀 징역 11년형을 선고받는데…
 
 스웨덴 기자 마틴 시뷔에와 요한 페르손의 악몽 같은 실화",https://movie-phinf.pstatic.net/20210113_198/1610522770004Smun6_JPEG/movie_image.jpg?type=m203_290_2
8년을 뛰어넘은 신부,"멜로/로맨스, 드라마, 가족",일본,119분,2021 .05.07 개봉,제제 타카히사,"사토 타케루, 츠치야 타오",전체 관람가,"결혼을 약속한 히사시와 마이. 하지만 마이에게 갑자기 병이 생기고 혼수상태가 되고 만다.
 히사시는 마이의 부모님에게 다른 여자를 만나라는 충고를 듣지만, 그녀의 곁에서 떠나지 않고 회복하는 것을 기다린다.
 그 후, 눈을 뜬 마이는 기억상실증에 걸려 히사시가 누구인지 모르는 상태가 되어버린다.
 충격을 받은 히사시는 좌절하지 않고 매일같이 그녀를 찾아가는데....",https://movie-phinf.pstatic.net/20210108_237/1610088401252cCott_JPEG/movie_image.jpg?type=m203_290_2
B급 청춘,드라마,한국,103분,2021 .06.16 개봉,민채연,"정수련, 도정원, 김현호",15세 관람가,"예술대 영화과 연출 전공 4학년 ‘겨레’는 하루 아침에 정성을 다해 쏟은 졸업 영화 시나리오를 전 남자친구이자 졸업한 학과 선배 ‘현수’에게 스틸 당한다.
 망연자실하던 겨레는 급히 다른 시나리오로 준비하기에 이른다. 완벽하지 않은 졸업영화 팀원들이 모여 그들의 성장과 사랑을 담은 이야기다.",https://movie-phinf.pstatic.net/20210601_32/1622528850437savdb_JPEG/movie_image.jpg?type=m203_290_2
