title,genre,nation,running_time,release_date,director,actor,grade,summary,poster
극장판 헬로카봇 : 달나라를 구해줘!,애니메이션,한국,76분,2019 .09.04 개봉,"최신규, 김진철","이지현(차탄 / 모나 한국어 목소리), 김용준(아빠 한국어 목소리), 양정화(엄마 / 장군 한국어 목소리)",전체 관람가,"평화로웠던 지구에는 타워크레인, 우주정거장이 사라지고,
 달의 뒷면에서 살던 토끼족 마을은 외계 로봇의 공격으로 위기에 처하게 된다.
 이 모든 것은 바로 지구를 정복하려는 치올라 외계인들의 공격이었던 것!
 
 평화를 수호하는 차탄과 카봇들은 달을 넘어 지구까지 혼란에 빠뜨린
 치올라 외계 군단에 맞서기 위해 달나라로 떠나게 되는데…!
 
 지구와 달을 구하기 위한
 카봇과 토끼족들의 지상최대 연합작전이 시작된다!",https://movie-phinf.pstatic.net/20190809_188/1565339488370yCW90_JPEG/movie_image.jpg?type=m203_290_2
극장판 헬로카봇:옴파로스 섬의 비밀,애니메이션,한국,78분,2019 .01.31 개봉,"최신규, 김진철","이지현(차탄 목소리), 김용준(차산/코어 목소리)",전체 관람가,"따뜻한 남태평양으로 휴가를 떠난 차탄 가족과 친구들은 어느 외딴섬에 표류하고 만다.
 그곳은 바로 지구의 배꼽이라 불리는 강력한 생명력을 지닌 신비의 섬 ‘옴파로스’!
 그곳에서 차탄 가족은 ‘슈퍼연료전지 구공탄’을 노리는 외계 로봇들의 공격으로 위기에 처하는데…
 
 지구 온난화를 일으켜 세상을 정복하려는 ‘외계인’들에 맞선 차탄과 ‘동물카봇’의 운명을 건 대결이 시작된다!",https://movie-phinf.pstatic.net/20190207_107/1549506120933tsuBH_JPEG/movie_image.jpg?type=m203_290_2
극한직업,코미디,한국,111분,2019 .01.23 개봉,이병헌,"류승룡(고반장), 이하늬(장형사), 진선규(마형사)",15세 관람가,"불철주야 달리고 구르지만 실적은 바닥, 급기야 해체 위기를 맞는 마약반!
 더 이상 물러설 곳이 없는 팀의 맏형 고반장은 국제 범죄조직의 국내 마약 밀반입 정황을 포착하고
 장형사, 마형사, 영호, 재훈까지 4명의 팀원들과 함께 잠복 수사에 나선다.
 마약반은 24시간 감시를 위해 범죄조직의 아지트 앞 치킨집을 인수해 위장 창업을 하게 되고,
 뜻밖의 절대미각을 지닌 마형사의 숨은 재능으로 치킨집은 일약 맛집으로 입소문이 나기 시작한다.
 수사는 뒷전, 치킨장사로 눈코 뜰 새 없이 바빠진 마약반에게 어느 날 절호의 기회가 찾아오는데…
 
 범인을 잡을 것인가, 닭을 잡을 것인가!",https://movie-phinf.pstatic.net/20190116_206/1547615429111dINWj_JPEG/movie_image.jpg?type=m203_290_2
글래스,"드라마, 미스터리, SF, 스릴러",미국,129분,2019 .01.17 개봉,M. 나이트 샤말란,"제임스 맥어보이(케빈/비스트/패트리샤/데니스/헤드윅/배리/제이드/오웰), 브루스 윌리스(데이빗 던), 사무엘 L. 잭슨(엘리야 프라이스/미스터 글래스)",15세 관람가,"통제불가한 24번째 인격 비스트를 깨운 케빈,
 강철 같은 신체 능력을 지닌 의문의 남자 던,
 천재적 두뇌를 지닌 미스터리한 설계자 미스터 글래스,
 마침내 그들이 한 자리에 모이게 되고 이들의 존재가 세상에 드러나면서 예상치 못한 일이 벌어지는데…….",https://movie-phinf.pstatic.net/20181227_126/1545900402100CiQHx_JPEG/movie_image.jpg?type=m203_290_2
글로리아 벨,"드라마, 멜로/로맨스",미국,101분,2019 .06.06 개봉,세바스찬 렐리오,"줄리안 무어(글로리아), 존 터투로(아놀드)",15세 관람가,"제 2의 로맨스를 시작했지만 오직 사랑만 할 수 없는 현실을 통해
 잊혀졌던 나를 찾아가는 과정을 그린 여자 ‘글로리아’의 드라마",https://movie-phinf.pstatic.net/20190502_46/1556778081943yJa6X_JPEG/movie_image.jpg?type=m203_290_2
기묘한 가족,코미디,한국,112분,2019 .02.13 개봉,이민재,"정재영(준걸), 김남길(민걸), 엄지원(남주)",12세 관람가,"망해버린 주유소의 트러블메이커 가장 '만덕'은 우연히 만난 좀비를 집안에 들인다.
 여타 좀비와 달리 반반한 외모, 말귀 알아듣는 ‘쫑비’를 보며
 저마다의 속셈으로 패밀리 비즈니스를 꿈꾸는 가족.
 
 리더인 맏며느리 '남주'를 중심으로
 행동대장 장남 '준걸'과 브레인 차남 '민걸'
 에너지 담당 막내 '해걸'에
 물리면 죽기는커녕 더 젊어지는 좀비 '쫑비'까지!
 
 이들의 기막힌 비즈니스는 조용했던 동네를
 별안간 혈기 왕성한 마을로 만들어버리는데...
 
 이거 혹시… 우리 때문이야?",https://movie-phinf.pstatic.net/20190213_142/1550020349326Pk2m3_JPEG/movie_image.jpg?type=m203_290_2
기방도령,코미디,한국,110분,2019 .07.10 개봉,남대중,"준호(허색), 정소민(해원), 최귀화(육갑)",15세 관람가,"""기왕지사 이리 된 김에 사업을 해보는 게 어떻겠소?
 내가 기생이 되겠단 말입니다!""
 
 수려한 용모와 뛰어난 기예, 여심을 꿰뚫어 보는 타고난 천성의 꽃도령 ‘허색’.
 그는 자신이 나고 자란 기방 ‘연풍각’이 폐업 위기에 처하자 조선 최초의 남자 기생이 되기로 결심한다.
 
 기방결의로 맺어진 25세 괴짜 도인 ‘육갑’과 함께 기획부터 홍보까지 환상의 호흡을 자랑하며
 단숨에 조선 최고의 여심스틸러로 등극한 ‘허색’.
 입소문이 번지며 조선 사대부 여인들의 마음이 두근거리기 시작한다.
 
 그러나, 승승장구한 것도 잠시
 예기치 못한 인물의 등장으로 잘 나가던 ‘허색’의 사업은 삐거덕거리기 시작하는데…",https://movie-phinf.pstatic.net/20190617_165/15607469302864PYiu_JPEG/movie_image.jpg?type=m203_290_2
기생충,드라마,한국,131분,2019 .05.30 개봉,봉준호,"송강호(기택), 이선균(동익), 조여정(연교)",15세 관람가,"전원백수로 살 길 막막하지만 사이는 좋은 기택(송강호) 가족.
 장남 기우(최우식)에게 명문대생 친구가 연결시켜 준 고액 과외 자리는
 모처럼 싹튼 고정수입의 희망이다.
 온 가족의 도움과 기대 속에 박사장(이선균) 집으로 향하는 기우.
 글로벌 IT기업 CEO인 박사장의 저택에 도착하자
 젊고 아름다운 사모님 연교(조여정)가 기우를 맞이한다.
 
 그러나 이렇게 시작된 두 가족의 만남 뒤로, 걷잡을 수 없는 사건이 기다리고 있었으니…",https://movie-phinf.pstatic.net/20190528_36/1559024198386YVTEw_JPEG/movie_image.jpg?type=m203_290_2
기억할 만한 지나침,드라마,한국,166분,2019 .12.19 개봉,박영임,"이헌주(김(김인영)), 몽돌(흰돌)",15세 관람가,"차에 치인 동물을 외면하지도 구해주지도 못하는 시인 ‘김’은 삶과 죽음 어떤 것도 대면하지 못하는 사람이다. 어느 날 남편은 말도 없이 사라지고 그녀는 저수지에서 버려진 개를 발견한다. 시를 쓰고 개를 돌보며 생을 부여잡아 보지만, 돌아오는 것은 냉담한 시선 뿐. 그녀는 누구에게도 이해받지 못할 고독 속에 있다. 이 어둡고 지난한 터널 같은 시간 속에서 우리는 희망의 빛을 발견할 수 있을까.",https://movie-phinf.pstatic.net/20191126_8/15747573690259i6Bx_JPEG/movie_image.jpg?type=m203_290_2
김군,다큐멘터리,한국,85분,2019 .05.23 개봉,강상우,"김군(본인), 지만원(본인)",12세 관람가,"1980년 5월, 광주 도심 곳곳에서 포착된 한 남자.
 군용 트럭 위 군모를 쓰고 무기를 든 매서운 눈매.
 군사평론가 지만원은 그를 북한특수군 ‘제1광수’로 명명하고,
 누군가는 그를 한동네에 살았던 ‘김군’이라고 기억해내는데…
 
 사진 한 장으로부터 시작된 광주의 진실이 밝혀진다.",https://movie-phinf.pstatic.net/20190520_259/1558331537796t8O6B_JPEG/movie_image.jpg?type=m203_290_2
