title,genre,nation,running_time,release_date,director,actor,grade,summary,poster
108명의 여자와 섹스하는 방법,"코미디, 드라마",일본,101분,2020 .05.21 개봉,마츠오 스즈키,"마츠오 스즈키, 나카야마 미호",청소년 관람불가,"유명 시나리오 작가인 '카이바 고로'는 SNS 통해 아내 '아야코'의 외도 사실을 알게 된다.
 여전히 아내를 사랑하지만, 가만히 있어도 솟구치는 화를 참을 수 없었던 '카이바 고로'
 기상천외한 복수 방법을 고민하던 그는 아내의 SNS 게시물에 '좋아요'가 108개 눌려 있던 것에서 영감을 받아
 한 달 동안 108명의 여자와 만나기로 결심하는데...",https://movie-phinf.pstatic.net/20200512_12/1589259927079W63st_JPEG/movie_image.jpg?type=m203_290_2
16세의 사운드트랙,"코미디, 멜로/로맨스",영국,85분,2020 .07.02 개봉,힐러리 셰익스피어,"스칼렛 마샬(메이지), 제임스 콜로웨이(벤)",12세 관람가,"“축하는 개뿔! 이제 나만 남았잖아 쪽팔리게!!!”
 - 유일한 키스 無경험자 ‘메이지’
 “이제 난 공식적인 멍청이다 XX !!!!!”
 - 자칭 A등급 현실은 C등급 ‘벤’
 
 바라는 건 현생 탈출 원하는 건 쿨한 인생
 
 별것 아닌 일들로 별일까지 다 해 본
 전지적 16세 시점, 반짝이는 흑역사 모먼트!!",https://movie-phinf.pstatic.net/20200619_172/1592553908833uJJ0i_JPEG/movie_image.jpg?type=m203_290_2
1917,"드라마, 전쟁",미국,119분,2020 .02.19 개봉,샘 멘데스,"조지 맥케이(스코필드), 딘-찰스 채프먼(블레이크)",15세 관람가,"제1차 세계대전이 한창인 1917년.
 독일군에 의해 모든 통신망이 파괴된 상황 속에서
 영국군 병사 '스코필드'(조지 맥케이)와 '블레이크'(딘-찰스 채프먼)에게 하나의 미션이 주어졌다.
 
 함정에 빠진 영국군 부대의 수장 '매켄지' 중령(베네딕트 컴버배치)에게
 '에린무어' 장군(콜린 퍼스)의 공격 중지 명령을 전하는 것!
 
 둘은 1600명의 아군과 '블레이크'의 형(리차드 매든)을 구하기 위해
 전쟁터 한복판을 가로지르며 사투를 이어가는데...",https://movie-phinf.pstatic.net/20200212_161/1581489520959v0cjn_JPEG/movie_image.jpg?type=m203_290_2
1942: 언노운 배틀,전쟁,러시아 연방,117분,2020 .07.29 개봉,이고르 카피로브,"세르게이 자코브, 이반 바타레프, 알렉산드르 버카로프",15세 관람가,"인류 역사상 최악의 전쟁이라 일컬어지는 제2차 세계대전이 한창인 1942년. 소련군은 부대원의 70%를 잃는 처절한 전투 끝에 군사적 요충지인 르제프의 한 마을을 점령하는데 성공한다. 마을을 재탈환하기 위한 독일군의 공격은 점점 거세지지만 본대로부터의 지원은 고사하고, 부대 전체가 전멸하더라도 위치를 사수하라는 이해할 수 없는 명령만이 주어지는데...
 
 아무도 기억해주지 않더라도 반드시 승리를 만들어내야만 한다!",https://movie-phinf.pstatic.net/20200810_177/1597021270606aaIui_JPEG/movie_image.jpg?type=m203_290_2
1945: 포인트 오브 노 리턴,전쟁,영국,85분,2020 .06.24 개봉,릭 로버츠,"조쉬 하퍼, 닐 워드, 로라 진 마쉬",15세 관람가,"러시아군과 대치 중 전열에서 낙오된 ‘브랜트’중위의 부대는
 다시 아군에 합류하기 위한 과정에서 러시아 의무병들을 생포하게 된다.
 
 적과의 불편한 동행을 하게 되면서 부하들은 점점 불만이 쌓여가게 되고,
 사로잡힌 러시아 의무병들 역시 탈출을 위해 호시탐탐 기회를 노리는데…",https://movie-phinf.pstatic.net/20200526_72/1590454346011i8rlq_JPEG/movie_image.jpg?type=m203_290_2
21 브릿지: 테러 셧다운,"범죄, 드라마, 스릴러",미국,99분,"2020 .10.21 재개봉, 2020 .01.01 개봉",브라이언 커크,"채드윅 보스만(안드레 데이비스), J.K. 시몬스(맥케나), 시에나 밀러(프랭키 번스)",15세 관람가,"뉴욕 맨해튼 중심에서 벌어진 경찰 연쇄 살해 사건,
 범인을 잡기 위해 베테랑 경찰 ‘데이비스’는 극단의 조치를 취한다.
 
 “지금부터 뉴욕 맨해튼의 모든 출구를 전면 봉쇄한다”
 
 주어진 시간은 단 3시간!
 모든 수단과 방법을 동원해 놈들을 잡아야 한다.",https://movie-phinf.pstatic.net/20201013_297/1602557055715O0M8G_JPEG/movie_image.jpg?type=m203_290_2
3022: 지구 대폭발,"SF, 드라마",미국,91분,2020 .06.30 개봉,존 슈이츠,"오마 엡스(존), 케이트 월쉬(잭키)",15세 관람가,"2190년, 우주비행사 존과 재키는 목성의 3번째 달에 건설된 '판지아' 연료 정거장에서 10년동안 근무 중이다. 그런데 어느날 갑자기 지구가 폭발해 흔적도 없이 사라져버린다. 하루 아침에 최후의 인류가 되어버린 이들은 깊은 우주 한 가운데에서 인류의 희망을 위한 마지막 사투를 벌인다.",https://movie-phinf.pstatic.net/20200612_102/15919241032253t5PW_JPEG/movie_image.jpg?type=m203_290_2
69세,드라마,한국,100분,2020 .08.20 개봉,임선애,"예수정(심효정), 기주봉(남동인), 김준경(이중호)",15세 관람가,"“인생 그렇게 쉽게 끝나지 않아…”
 69세 효정은 병원에서 치료를 받다가 29세의 남자 간호조무사에게 치욕적인 일을 당한다. 긴 고민 끝에 효정은 동거 중인 동인에게 이 사실을 알리고 경찰에 신고한다. 하지만 경찰과 주변 사람 모두 말도 안 되는 일이라며 효정을 치매 환자로 매도하고, 법원 역시 나이 차이를 근거로 사건의 개연성이 부족하다며 구속영장을 기각한다. 효정은 피해자가 더 고통 받는 현실에 굴하지 않고 용기를 내어 가해자를 향한 일갈을 준비하는데… 아직 살아있는 69세의 나를, 당신은 어떻게 보고 있습니까?",https://movie-phinf.pstatic.net/20200804_267/1596505576712zw2dt_JPEG/movie_image.jpg?type=m203_290_2
7월7일,"드라마, 멜로/로맨스",한국,89분,2020 .09.02 개봉,손승현,"정이서(미주), 김희찬(현수)",12세 관람가,"""유레카!""
 영화감독을 꿈꾸던 ‘현수'의 과거.
 ‘현수’는 우연히 만난 ‘미주’에게 주인공을 제안하고,
 함께 촬영하며 연인으로 발전한다.
 
 ""뭐라도 하고 있는 거야?""
 지칠 대로 지친 '미주'의 현재.
 부족한 생활비, 팀장의 막말… 매일이 힘든 ‘미주’는
 여전히 꿈만 꾸는 '현수'가 답답하기만 하다.
 
 사소한 한 마디에 크게 다툰 다음 날,
 두 사람에게 같은 날이지만 전혀 다른 7월 7일이 시작되는데…
 
 과연 하루의 끝에 기다리고 있는 엔딩은 무엇일까?
 우리는 다시 예전처럼 돌아갈 수 있을까?",https://movie-phinf.pstatic.net/20200814_90/15973744000046HwdI_JPEG/movie_image.jpg?type=m203_290_2
800,"전쟁, 액션",중국,149분,2020 .12.10 개봉,관후,"왕첸웬(양과이), 어우 하오(두안우), 두순(쎄진위안)",15세 관람가,"제 2차 세계대전 중일전쟁 초기,
 거듭된 패배로 많은 사상자를 내며 중국군이 퇴각하던 중,
 800명의 제 524연대는 2만 명의 일본군으로부터 상하이를 지켜내라는 명령을 받는다.
 
 쑤저우 강을 사이에 두고, 외국인들과 부유한 중국인들이 모여 사는 건너편
 허름한 사행창고에 배치된 제 524연대는 일본군에 맞서 나흘 밤낮 격전을 펼친다.
 한편 쉽게 함락할 수 있을 줄 알았던 상하이에서 발목이 잡혀 초조해진 일본은
 격전지를 폭파할 계획을 세우고, 제 524연대 병사들은 목숨을 건 탈출을 해야만 하는데…",https://movie-phinf.pstatic.net/20210115_178/1610671295884pabj9_JPEG/movie_image.jpg?type=m203_290_2
