noun,count,title
공군,35,6솔져스
터키,35,6솔져스
국경,35,6솔져스
지역,35,6솔져스
잔악,35,6솔져스
무도,35,6솔져스
단체,35,6솔져스
가운데,35,6솔져스
알파,35,6솔져스
슬란,35,6솔져스
특수부대,35,6솔져스
아군,35,6솔져스
돕기,35,6솔져스
진격,35,6솔져스
절친,35,6솔져스
동료,35,6솔져스
하라,35,6솔져스
지영,1688,82년생 김지영
대현,1266,82년생 김지영
이자,844,82년생 김지영
아내,844,82년생 김지영
자주,422,82년생 김지영
당신,422,82년생 김지영
아무,422,82년생 김지영
라며,422,82년생 김지영
상처,422,82년생 김지영
마치,422,82년생 김지영
부터,422,82년생 김지영
가족,422,82년생 김지영
항상,422,82년생 김지영
공유,422,82년생 김지영
딸,422,82년생 김지영
남편,422,82년생 김지영
어딘가,422,82년생 김지영
때론,422,82년생 김지영
정유미,422,82년생 김지영
오늘,422,82년생 김지영
엄마,422,82년생 김지영
동료,422,82년생 김지영
누군가,422,82년생 김지영
이야기,422,82년생 김지영
번개,8,EBS 댄스파티!
어린이,8,EBS 댄스파티!
뿡뿡이,4,EBS 댄스파티!
뿡순,4,EBS 댄스파티!
캐릭터,4,EBS 댄스파티!
최초,4,EBS 댄스파티!
자리,4,EBS 댄스파티!
출동,4,EBS 댄스파티!
극장,4,EBS 댄스파티!
싱어,4,EBS 댄스파티!
콘서트,4,EBS 댄스파티!
레인보우,4,EBS 댄스파티!
댄스파티,4,EBS 댄스파티!
여러분,4,EBS 댄스파티!
초대,4,EBS 댄스파티!
세상,489,가버나움
부모님,489,가버나움
출생,489,가버나움
기록,489,가버나움
어쩌면,489,가버나움
소년,489,가버나움
자인,489,가버나움
여자친구,102,갈까부다
봉수,85,갈까부다
은비,68,갈까부다
다큐멘터리,51,갈까부다
반대,51,갈까부다
아버지,51,갈까부다
크게,34,갈까부다
가족,34,갈까부다
모든,34,갈까부다
선물,34,갈까부다
국악,34,갈까부다
위해,34,갈까부다
온갖,17,갈까부다
로써,17,갈까부다
마지막,17,갈까부다
연애,17,갈까부다
지인,17,갈까부다
주변,17,갈까부다
구타,17,갈까부다
해결,17,갈까부다
좌절,17,갈까부다
모욕,17,갈까부다
야심,17,갈까부다
과정,17,갈까부다
인터뷰,17,갈까부다
친구,17,갈까부다
제작,17,갈까부다
준비,17,갈까부다
감동,17,갈까부다
제대로,17,갈까부다
기획,17,갈까부다
영화감독,17,갈까부다
완성,17,갈까부다
말순,1764,감쪽같은 그녀
공주,1323,감쪽같은 그녀
